KATEGORI BAWAH 446,Tahun Permohonan,NOPAC,NAMA SYARIKAT / PENYEDIA,ALAMAT,ADD1,ADD2,ADD3,DAERAH,KAPASITI,SEKTOR,X,Y
MAJIKAN,2025,PAC/10401/2025/107768,LONG BOW MANUFACTURING SDN BHD,"JA 9039, JLN. DEBUNGA 2, TAMAN DEBUNGA","JA 9039, JLN. DEBUNGA 2",TAMAN DEBUNGA,,JASIN,6,C - Pembuatan,2.141612061,102.4204606
MAJIKAN,2022,PAC/10401/2022/57483,LONG BOW MANUFACTURING SDN BHD,"JA 9008, JALAN DEBUNGA 2, TAMAN DEBUNGA","JA 9008, JALAN DEBUNGA 2, TAMAN DEBUNGA",,,JASIN,6,C - Pembuatan,2.14224091,102.4209119
MAJIKAN,2022,PAC/10401/2022/61213,MVANCE ENGINEERING SDN BHD,"JB 4468, JALAN DEBUNGA 2, TAMAN DEBUNGA MERLIMAU","JB 4468, JALAN DEBUNGA 2",TAMAN DEBUNGA MERLIMAU,,MELAKA TENGAH,12,C - Pembuatan,2.144431388,102.4212255
MAJIKAN,2023,PAC/10401/2023/87856,PASARAYA SEJATI (MERLIMAU) SDN BHD,"JB 7 (LOT 5497), JALAN DEBUNGA 1,, TAMAN DEBUNGA","JB 7 (LOT 5497), JALAN DEBUNGA 1,",TAMAN DEBUNGA,,JASIN,10,"G - Perdagangan borong dan runcit, pembaikan kenderaan bermotor dan motosikal",2.144448528,102.4230294
MAJIKAN,2022,PAC/10401/2022/61428,MVANCE ENGINEERING SDN BHD,"JB 4467, JALAN DEBUNGA 2, TAMAN DEBUNGA MERLIMAU","JB 4467, JALAN DEBUNGA 2",TAMAN DEBUNGA MERLIMAU,,MELAKA TENGAH,12,C - Pembuatan,2.144481229,102.4212511
MAJIKAN,2022,PAC/10401/2022/65964,EUREKA RESOURCES SDN BHD,"NO JB 4487, JALAN DEBUNGA 3, TAMAN DEBUNGA, 77300 MERLIMAU MELAKA","NO JB 4487, JALAN DEBUNGA 3, TAMAN DEBUNGA, 77300 MERLIMAU MELAKA",,,JASIN,12,C - Pembuatan,2.145076681,102.4216303
MAJIKAN,2023,PAC/10401/2023/76835,PENTA RECYCLING (M) SDN BHD,"JB 4456 JALAN DEBUNGA 2, TAMAN DEBUNGA FASA 3","JB 4456 JALAN DEBUNGA 2, TAMAN DEBUNGA FASA 3",,,JASIN,8,"E - Bekalan air; pembetungan, pengurusan sisa dan aktiviti pemulihan",2.145190215,102.4213148
MAJIKAN,2024,PAC/10401/2024/91572,RUBBER LEISURE PRODUCTS SDN BHD,"JC8170, JALAN SERKAM INDAH, TAMAN SERKAM INDAH","JC8170, JALAN SERKAM INDAH, TAMAN SERKAM INDAH",,,JASIN,6,C - Pembuatan,2.147618201,102.390949
MAJIKAN,2024,PAC/10401/2024/96875,RUBBER LEISURE PRODUCTS SDN BHD,"JB254, JALAN SERKAM MAJU 2, TAMAN SERKAM MAJU","JB254, JALAN SERKAM MAJU 2, TAMAN SERKAM MAJU",,,JASIN,6,C - Pembuatan,2.149461366,102.3858345
MAJIKAN,2024,PAC/10401/2024/104995,LATEX LEISURE SDN BHD,"JB317, JALAN SERKAM MAJU5,, TAMAN SERKAM MAJU","JB317, JALAN SERKAM MAJU5,",TAMAN SERKAM MAJU,,JASIN,6,C - Pembuatan,2.149733074,102.3845263
MAJIKAN,2024,PAC/10401/2024/104996,LATEX LEISURE SDN BHD,"JB318 JALAN SERKAM MAJU 5, TAMAN SERKAM MAJU",JB318 JALAN SERKAM MAJU 5,TAMAN SERKAM MAJU,,JASIN,5,C - Pembuatan,2.149798076,102.3845353
MAJIKAN,2021,PAC/10401/2021/21519,LATEX LEISURE SDN BHD,"JB318,JALAN SERKAM MAJU 5,TMN SERKAM MAJU","JB318,JALAN SERKAM MAJU 5,TMN SERKAM MAJU",,,JASIN,5,C - Pembuatan,2.149819848,102.3845071
MAJIKAN,2021,PAC/10401/2021/21469,LATEX LEISURE SDN BHD,"JB317,JALAN SERKAM MAJU 5,TMN SERKAM MAJU","JB317,JALAN SERKAM MAJU 5,TMN SERKAM MAJU",,,JASIN,6,C - Pembuatan,2.149875145,102.3845228
MAJIKAN,2024,PAC/10401/2024/93782,RUBBER LEISURE PRODUCTS SDN BHD,"JB9084, JALAN SR 2, TAMAN SERKAM RIA","JB9084, JALAN SR 2, TAMAN SERKAM RIA",,,JASIN,9,C - Pembuatan,2.150090488,102.3872683
MAJIKAN,2021,PAC/10401/2021/21537,LATEX LEISURE SDN BHD,"JB362,JLN SERKAM MAJU 6,TAMAN SERKAM MAJU","JB362,JLN SERKAM MAJU 6,TAMAN SERKAM MAJU",,,JASIN,5,C - Pembuatan,2.150129546,102.3839509
MAJIKAN,2024,PAC/10401/2024/105386,LATEX LEISURE SDN BHD,"JB362, JALAN SERKAM MAJU 6, TAMAN SERKAM MAJU","JB362, JALAN SERKAM MAJU 6",TAMAN SERKAM MAJU,,JASIN,5,C - Pembuatan,2.150148895,102.383943
MAJIKAN,2020,PAC/10401/2020/3044,RUBBER LEISURE PRODUCTS SDN BHD,"JB9084,JALAN SERKAM RIA 2,TAMAN SERKAM RIA","JB9084,JALAN SERKAM RIA 2,TAMAN SERKAM RIA",,,JASIN,12,C - Pembuatan,2.150200381,102.3873166
MAJIKAN,2020,PAC/10401/2020/3046,RUBBER LEISURE PRODUCTS SDN BHD,"JB9280,LORONG SR7/3,TAMAN SERKAM RIA","JB9280,LORONG SR7/3,TAMAN SERKAM RIA",,,JASIN,10,C - Pembuatan,2.150580297,102.3852922
MAJIKAN,2025,PAC/10401/2025/106391,LATEX LEISURE SDN BHD,"JB2127 Jalan Seri 15, Taman Seri Serkam",JB2127 Jalan Seri 15,Taman Seri Serkam,,JASIN,6,C - Pembuatan,2.150645103,102.3917805
MAJIKAN,2021,PAC/10401/2021/21543,LATEX LEISURE SDN BHD,"JB2127,JLN SERI 15,TMN SERI SERKAM 77300 MERLIMAU MELAKA","JB2127,JLN SERI 15,TMN SERI SERKAM 77300 MERLIMAU MELAKA",,,JASIN,6,C - Pembuatan,2.150652178,102.3917652
MAJIKAN,2024,PAC/10401/2024/95630,RUBBER LEISURE PRODUCTS SDN BHD,"JB9280 LORONG SERKAM RIA 7/3, TAMAN SERKAM RIA",JB9280 LORONG SERKAM RIA 7/3,TAMAN SERKAM RIA,,JASIN,8,C - Pembuatan,2.150708743,102.3854247
MAJIKAN,2020,PAC/10401/2020/3040,RUBBER LEISURE PRODUCTS SDN BHD,"JB 9099, JLN SR2, TMN SERKAM RIA,","JB 9099, JLN SR2, TMN SERKAM RIA,",,,JASIN,12,C - Pembuatan,2.150777073,102.3877656
MAJIKAN,2024,PAC/10401/2024/93781,RUBBER LEISURE PRODUCTS SDN BHD,"JB9097, JALAN SR 2, TAMAN SERKAM RIA","JB9097, JALAN SR 2, TAMAN SERKAM RIA",,,JASIN,9,C - Pembuatan,2.15078172,102.3877737
MAJIKAN,2024,PAC/10401/2024/100692,RUBBER LEISURE PRODUCTS SDN BHD,"No 2101, Jalan Seri Serkam 18, Taman Seri Serkam, Serkam Darat","No 2101, Jalan Seri Serkam 18, Taman Seri Serkam, Serkam Darat",,,JASIN,6,C - Pembuatan,2.150793829,102.3927855
MAJIKAN,2024,PAC/10401/2024/93780,RUBBER LEISURE PRODUCTS SDN BHD,"JB9098, JALAN SR 2, TAMAN SERKAM RIA","JB9098, JALAN SR 2, TAMAN SERKAM RIA",,,JASIN,9,C - Pembuatan,2.150817234,102.3878266
MAJIKAN,2020,PAC/10401/2020/3041,RUBBER LEISURE PRODUCTS SDN BHD,"JB 9098, JLN SR2, TMN SERKAM RIA,","JB 9098, JLN SR2, TMN SERKAM RIA,",,,JASIN,12,C - Pembuatan,2.150841401,102.3877971
MAJIKAN,2024,PAC/10401/2024/96507,RUBBER LEISURE PRODUCTS SDN BHD,"JB9291, Jalan SR7/4, Taman Serkam Ria,","JB9291, Jalan SR7/4, Taman Serkam Ria,",,,JASIN,8,C - Pembuatan,2.150880162,102.3848804
MAJIKAN,2024,PAC/10401/2024/93778,RUBBER LEISURE PRODUCTS SDN BHD,"JB9099, JALAN SR2, TAMAN SERKAM RIA","JB9099, JALAN SR2, TAMAN SERKAM RIA",,,JASIN,9,C - Pembuatan,2.150880221,102.3878602
MAJIKAN,2020,PAC/10401/2020/3047,RUBBER LEISURE PRODUCTS SDN BHD,"JB9291,LORONG SR7/4,TAMAN SERKAM RIA","JB9291,LORONG SR7/4,TAMAN SERKAM RIA",,,JASIN,10,C - Pembuatan,2.150888424,102.3848207
MAJIKAN,2020,PAC/10401/2020/3043,RUBBER LEISURE PRODUCTS SDN BHD,"JB9097,JALAN SR2,TAMAN SERKAM RIA","JB9097,JALAN SR2,TAMAN SERKAM RIA",,,JASIN,12,C - Pembuatan,2.150895007,102.3878185
MAJIKAN,2020,PAC/10401/2020/3049,RUBBER LEISURE PRODUCTS SDN BHD,"JB9224,JALAN SERKAM RIA 7,","JB9224,JALAN SERKAM RIA 7,",,,JASIN,10,C - Pembuatan,2.151164879,102.3847339
MAJIKAN,2024,PAC/10401/2024/97404,RUBBER LEISURE PRODUCTS SDN BHD,"JB2072, JALAN SERI SERKAM 17,, TAMAN SERI SERKAM,","JB2072, JALAN SERI SERKAM 17,","TAMAN SERI SERKAM,",,JASIN,6,C - Pembuatan,2.151182463,102.3924317
MAJIKAN,2024,PAC/10401/2024/95759,RUBBER LEISURE PRODUCTS SDN BHD,"JB9224, Jalan SR7, Taman Serkam Ria","JB9224, Jalan SR7, Taman Serkam Ria",,,JASIN,7,C - Pembuatan,2.151189513,102.3847411
MAJIKAN,2021,PAC/10401/2021/22352,LEONG HUP AGROBUSINESS SDN. BHD.,"LOT 3242 (PM 468), JALAN FASA 1, KAWASAN PERINDUSTRIAN, MUKIM SEMPANG, 77300 MERLIMAU, JASIN, MELAKA","LOT 3242 (PM 468), JALAN FASA 1, KAWASAN PERINDUSTRIAN, MUKIM SEMPANG, 77300 MERLIMAU, JASIN, MELAKA",,,MUAR,27,"A - Pertanian, Perhutanan dan Perikanan",2.151426697,102.4173885
MAJIKAN,2024,PAC/10401/2024/98319,RUBBER LEISURE PRODUCTS SDN BHD,"JB2016, JLN SERI SERKAM 14, TAMAN SERI SERKAM","JB2016, JLN SERI SERKAM 14, TAMAN SERI SERKAM",,,JASIN,5,C - Pembuatan,2.151917384,102.3923973
MAJIKAN,2021,PAC/10401/2021/52124,LATEX LEISURE SDN BHD,"JB2015,JALAN SERI SERKAM 14, TAMAN SERI SERKAM, SERKAM DARAT","JB2015,JALAN SERI SERKAM 14",TAMAN SERI SERKAM,SERKAM DARAT,JASIN,6,C - Pembuatan,2.151954908,102.3923248
MAJIKAN,2024,PAC/10401/2024/97403,RUBBER LEISURE PRODUCTS SDN BHD,"JB2026, JALAN SERI SERKAM 14,, TAMAN SERI SERKAM","JB2026, JALAN SERI SERKAM 14,",TAMAN SERI SERKAM,,JASIN,6,C - Pembuatan,2.152030876,102.3929312
MAJIKAN,2020,PAC/10401/2020/3055,RUBBER LEISURE PRODUCTS SDN BHD,"JB1983,JALAN SERI 14,TMN SERI SERKAM 77300 MERLIMAU MELAKA","JB1983,JALAN SERI 14,TMN SERI SERKAM 77300 MERLIMAU MELAKA",,,JASIN,9,C - Pembuatan,2.152064743,102.3921006
MAJIKAN,2024,PAC/10401/2024/98324,RUBBER LEISURE PRODUCTS SDN BHD,"JB1983, JALAN SERI SERKAM 14, TAMAN SERI SERKAM","JB1983, JALAN SERI SERKAM 14, TAMAN SERI SERKAM",,,JASIN,5,C - Pembuatan,2.152095046,102.3920973
MAJIKAN,2024,PAC/10401/2024/99413,99 SPEED MART SDN BHD,"No 4876, Jalan Pari,, Taman Merlimau Baru,, 77300, Merlimau, Melaka","No 4876, Jalan Pari,","Taman Merlimau Baru,","77300, Merlimau, Melaka",KLANG,14,"G - Perdagangan borong dan runcit, pembaikan kenderaan bermotor dan motosikal",2.152572346,102.4219146
MAJIKAN,2022,PAC/10401/2022/72168,UTAMA CABLES SDN BHD,"JA955, KAWASAN PLOT 5C-D, KAWASAN PERINDUSTRIAN MERLIMAU",JA955,KAWASAN PLOT 5C-D,KAWASAN PERINDUSTRIAN MERLIMAU,JASIN,30,C - Pembuatan,2.154804763,102.4211975
MAJIKAN,2021,PAC/10401/2021/20426,WESERHOCH SDN BHD,"LOT 28 JALAN USAHA 1
 FASA 3 KAWASAN PERINDSUTRIAN MERLIMAU","LOT 28 JALAN USAHA 1
 FASA 3 KAWASAN PERINDSUTRIAN MERLIMAU",,,JASIN,74,C - Pembuatan,2.157159894,102.4189585
MAJIKAN,2022,PAC/10401/2022/61042,MATANG MANUFACTURING SDN BHD,"JA 6052, JALAN MUHIBBAH 15, TAMAN MUHIBBAH",JA 6052,JALAN MUHIBBAH 15,TAMAN MUHIBBAH,JASIN,6,C - Pembuatan,2.160733441,102.4320658
MAJIKAN,2020,PAC/10401/2020/8120,MEGA PRINTING & PACKAGING SDN BHD,"NO 23, JALAN SERI EMAS 26, TAMAN SERI TELOK MAS","NO 23, JALAN SERI EMAS 26, TAMAN SERI TELOK MAS",,,MELAKA TENGAH,6,C - Pembuatan,2.161300451,102.3271565
MAJIKAN,2024,PAC/10401/2024/101242,TIAN HUP SENG BISCUIT FACTORY SDN BHD,"NO. 19, JALAN SERI EMAS 26, TAMAN SERI TELOK EMAS, MELAKA","NO. 19, JALAN SERI EMAS 26, TAMAN SERI TELOK EMAS, MELAKA",,,MELAKA TENGAH,5,C - Pembuatan,2.1613621,102.327116
MAJIKAN,2023,PAC/10401/2023/81706,JOO SENG CARTON INDUSTRIES SDN BHD,"J 4673, Taman Merlimau Baru, Merlimau","J 4673, Taman Merlimau Baru, Merlimau",,,JASIN,4,C - Pembuatan,2.161422732,102.4171553
MAJIKAN,2022,PAC/10401/2022/72098,PETER HAW ENTERPRISE SDN BHD,"LOT PT 1592, KAWASAN PERINDUSTRIAN MERLIMAU FASA III",LOT PT 1592,KAWASAN PERINDUSTRIAN MERLIMAU FASA III,,JASIN,30,C - Pembuatan,2.161709841,102.4180482
MAJIKAN,2022,PAC/10401/2022/68217,YF PACKAGING SDN BHD,"JC-4446, JALAN MERLIMAU PERMAI 11, TAMAN MERLIMAU PERMAI","JC-4446, JALAN MERLIMAU PERMAI 11, TAMAN MERLIMAU PERMAI",,,JASIN,7,C - Pembuatan,2.16202624,102.4256062
MAJIKAN,2024,PAC/10401/2024/90551,ASTINO SOUTHERN SDN BHD,"NO 48, JALAN SERI EMAS 17, TAMAN SERI TELOK MAS",NO 48,JALAN SERI EMAS 17,TAMAN SERI TELOK MAS,MELAKA TENGAH,10,C - Pembuatan,2.162027659,102.324831
MAJIKAN,2021,PAC/10401/2021/35724,PASARAYA SEJATI (TELOK MAS) SDN BHD,"17-1,JALAN SERI EMAS 4,TAMAN SERI TELOK EMAS","17-1,JALAN SERI EMAS 4,TAMAN SERI TELOK EMAS",,,MELAKA TENGAH,6,"G - Perdagangan borong dan runcit, pembaikan kenderaan bermotor dan motosikal",2.162278961,102.3222036
MAJIKAN,2023,PAC/10401/2023/88455,PASARAYA SEJATI (TELOK MAS) SDN BHD,"17-1 (LOT 1886),JALAN SERI EMAS 4, TAMAN SERI TELOK EMAS","17-1 (LOT 1886),JALAN SERI EMAS 4, TAMAN SERI TELOK EMAS",,,MELAKA TENGAH,6,"G - Perdagangan borong dan runcit, pembaikan kenderaan bermotor dan motosikal",2.162411746,102.3225781
MAJIKAN,2024,PAC/10401/2024/91549,SCIENTEX PACKAGING (TELUK EMAS) SDN. BHD.,"NO 49, JALAN SERI EMAS 19, TAMAN SERI TELOK EMAS","NO 49, JALAN SERI EMAS 19",TAMAN SERI TELOK EMAS,,MELAKA TENGAH,6,C - Pembuatan,2.162428068,102.3265011
MAJIKAN,2024,PAC/10401/2024/91548,SCIENTEX PACKAGING (TELUK EMAS) SDN. BHD.,"NO 47, JALAN SERI EMAS 19, TAMAN SERI TELOK EMAS","NO 47, JALAN SERI EMAS 19",TAMAN SERI TELOK EMAS,,MELAKA TENGAH,6,C - Pembuatan,2.162435438,102.3265513
MAJIKAN,2020,PAC/10401/2020/8115,MEGA PRINTING & PACKAGING SDN BHD,NO 49 JALAN SERI EMAS 19 TAMAN SERI TELOK MAS,NO 49 JALAN SERI EMAS 19 TAMAN SERI TELOK MAS,,,MELAKA TENGAH,6,C - Pembuatan,2.162440833,102.3264877
MAJIKAN,2020,PAC/10401/2020/8108,MEGA PRINTING & PACKAGING SDN BHD,NO.47 JALALN SERI EMAS 19 TAMAN SERI TELOK MAS,NO.47 JALALN SERI EMAS 19 TAMAN SERI TELOK MAS,,,MELAKA TENGAH,6,C - Pembuatan,2.162463109,102.3265519
MAJIKAN,2020,PAC/10401/2020/8136,MEGA PRINTING & PACKAGING SDN BHD,"NO.90, JALAN SERI EMAS 17, TAMAN SERI TELOK MAS","NO.90, JALAN SERI EMAS 17, TAMAN SERI TELOK MAS",,,MELAKA TENGAH,18,C - Pembuatan,2.162555129,102.3262814
MAJIKAN,2020,PAC/10401/2020/3568,ASTINO SOUTHERN SDN BHD,"NO 27 JALAN SERI EMAS 19,
  TAMAN SERI TELOK EMAS,
  75460 MELAKA","NO 27 JALAN SERI EMAS 19,
  TAMAN SERI TELOK EMAS,
  75460 MELAKA",,,MELAKA TENGAH,6,C - Pembuatan,2.162642159,102.3271108
MAJIKAN,2021,PAC/10401/2021/10523,MEGA PRINTING & PACKAGING SDN BHD,"NO.102, JALAN SERI EMAS 17, TAMAN SERI TELOK MAS,","NO.102, JALAN SERI EMAS 17, TAMAN SERI TELOK MAS,",,,MELAKA TENGAH,14,C - Pembuatan,2.162669009,102.32643
MAJIKAN,2021,PAC/10401/2021/10494,MEGA PRINTING & PACKAGING SDN BHD,"NO.100, JALAN SERI EMAS 17, TAMAN SERI TELOK MAS,","NO.100, JALAN SERI EMAS 17, TAMAN SERI TELOK MAS,",,,MELAKA TENGAH,14,C - Pembuatan,2.16267303,102.3265132
MAJIKAN,2025,PAC/10401/2025/106012,ASTINO SOUTHERN SDN BHD,"NO 27, JALAN SERI EMAS 19, TAMAN SERI TELOK MAS",NO 27,JALAN SERI EMAS 19,TAMAN SERI TELOK MAS,MELAKA TENGAH,6,C - Pembuatan,2.162708946,102.3270978
MAJIKAN,2022,PAC/10401/2022/68215,YF PACKAGING SDN BHD,"JC-5199, JALAN MERLIMAU PERMAI 16, TAMAN MERLIMAU PERMAI","JC-5199, JALAN MERLIMAU PERMAI 16, TAMAN MERLIMAU PERMAI",,,JASIN,7,C - Pembuatan,2.162776344,102.4245872
MAJIKAN,2022,PAC/10401/2022/68216,YF PACKAGING SDN BHD,"JC-5200, JALAN MERLIMAU PERMAI 16, TAMAN MERLIMAU PERMAI","JC-5200, JALAN MERLIMAU PERMAI 16, TAMAN MERLIMAU PERMAI",,,JASIN,7,C - Pembuatan,2.162796266,102.4245203
MAJIKAN,2023,PAC/10401/2023/81143,YF PACKAGING SDN BHD,"JC5302,JALAN MERLIMAU PERMAI 18,TAMAN MERLIMAU PERMAI","JC5302,JALAN MERLIMAU PERMAI 18,TAMAN MERLIMAU PERMAI",,,JASIN,8,C - Pembuatan,2.162813744,102.4229662
MAJIKAN,2023,PAC/10401/2023/81487,JOO SENG CARTON INDUSTRIES SDN BHD,"JC 5195, Jalan  Permai 16, Taman Merlimau Permai, Merlimau","JC 5195, Jalan  Permai 16, Taman Merlimau Permai, Merlimau",,,JASIN,9,C - Pembuatan,2.162948381,102.424733
MAJIKAN,2022,PAC/10401/2022/68214,YF PACKAGING SDN BHD,"JC-5194, JALAN MERLIMAU PERMAI 16, TAMAN MERLIMAU PERMAI","JC-5194, JALAN MERLIMAU PERMAI 16, TAMAN MERLIMAU PERMAI",,,JASIN,7,C - Pembuatan,2.162989105,102.4246582
MAJIKAN,2022,PAC/10401/2022/68211,YF PACKAGING SDN BHD,"JC-5193, JALAN MERLIMAU PERMAI 16, TAMAN MERLIMAU PERMAI, 77300 MERLIMAU, JASIN MELAKA.","JC-5193, JALAN MERLIMAU PERMAI 16, TAMAN MERLIMAU PERMAI, 77300 MERLIMAU, JASIN MELAKA.",,,JASIN,7,C - Pembuatan,2.163001058,102.4245952
MAJIKAN,2022,PAC/10401/2022/68212,YF PACKAGING SDN BHD,"JC-5191, JALAN MERLIMAU PERMAI 16, TAMAN MERLIMAU PERMAI, 77300 MERLIMAU","JC-5191, JALAN MERLIMAU PERMAI 16, TAMAN MERLIMAU PERMAI, 77300 MERLIMAU",,,JASIN,7,C - Pembuatan,2.163056838,102.4244421
MAJIKAN,2025,PAC/10401/2025/107103,ASTINO SOUTHERN SDN BHD,"NO 8, JALAN SERI EMAS 11, TAMAN SERI TELOK MAS",NO 8,JALAN SERI EMAS 11,TAMAN SERI TELOK MAS,MELAKA TENGAH,5,C - Pembuatan,2.163622555,102.3251531
MAJIKAN,2020,PAC/10401/2020/3566,ASTINO SOUTHERN SDN BHD,"NO 8 JALAN SERI EMAS 11
  TAMAN SERI TELOK EMAS FASA 2A
  75460 MELAKA","NO 8 JALAN SERI EMAS 11
  TAMAN SERI TELOK EMAS FASA 2A
  75460 MELAKA",,,MELAKA TENGAH,5,C - Pembuatan,2.163635913,102.325134
MAJIKAN,2024,PAC/10401/2024/95319,EVER DELICIOUS FOOD INDUSTRIES SDN BHD,"NO 14, JALAN SERI EMAS 11, TAMAN SERI TELOK MAS","NO 14, JALAN SERI EMAS 11, TAMAN SERI TELOK MAS",,,MELAKA TENGAH,5,C - Pembuatan,2.163671372,102.3252911
MAJIKAN,2022,PAC/10401/2022/62002,EVER DELICIOUS FOOD INDUSTRIES SDN BHD,"16 JALAN SERI EMAS 11, TAMAN SERI TELOK EMAS FASA 2A",16 JALAN SERI EMAS 11,TAMAN SERI TELOK EMAS FASA 2A,,MELAKA TENGAH,5,C - Pembuatan,2.163698706,102.3253461
MAJIKAN,2021,PAC/10401/2021/35736,EVER DELICIOUS FOOD INDUSTRIES SDN BHD,"NO 14, JALAN SERI EMAS 11, TAMAN SERI TELOK MAS, MELAKA","NO 14, JALAN SERI EMAS 11, TAMAN SERI TELOK MAS, MELAKA",,,MELAKA TENGAH,5,C - Pembuatan,2.163720935,102.325289
MAJIKAN,2024,PAC/10401/2024/99855,TIAN HUP SENG BISCUIT FACTORY SDN BHD,"NO. 104, JLN SERI EMAS 3, TAMAN SERI TELOK MAS, MELAKA","NO. 104, JLN SERI EMAS 3, TAMAN SERI TELOK MAS, MELAKA",,,MELAKA TENGAH,6,C - Pembuatan,2.163727812,102.3267143
MAJIKAN,2024,PAC/10401/2024/93260,TIAN HUP SENG BISCUIT FACTORY SDN BHD,"NO. 104, JALAN SERI EMAS 3, TAMAN SERI TELOK EMAS, MELAKA","NO. 104, JALAN SERI EMAS 3, TAMAN SERI TELOK EMAS, MELAKA",,,MELAKA TENGAH,6,C - Pembuatan,2.163745569,102.3267089
MAJIKAN,2021,PAC/10401/2021/13295,TIAN HUP SENG BISCUIT FACTORY SDN BHD,"104, JALAN SERI EMAS 3,
 TAMAN SERI TELOK EMAS","104, JALAN SERI EMAS 3,
 TAMAN SERI TELOK EMAS",,,MELAKA TENGAH,12,C - Pembuatan,2.163777695,102.3267315
MAJIKAN,2023,PAC/10401/2023/79275,ASTINO SOUTHERN SDN BHD,"NO 7, JALAN SERI EMAS 11, TAMAN SERI TELOK MAS",NO 7,JALAN SERI EMAS 11,TAMAN SERI TELOK MAS,MELAKA TENGAH,5,C - Pembuatan,2.163783731,102.3250619
MAJIKAN,2022,PAC/10401/2022/68817,ASTINO SOUTHERN SDN BHD,"No 7, JALAN SERI EMAS 11, TAMAN SERI TELOK MAS",No 7,JALAN SERI EMAS 11,TAMAN SERI TELOK MAS,MELAKA TENGAH,5,C - Pembuatan,2.163808682,102.3250561
MAJIKAN,2022,PAC/10401/2022/69194,SCIENTEX PACKAGING (TELUK EMAS) SDN. BHD.,"NO. 14, JALAN SERI EMAS 13,, TAMAN SERI TELOK EMAS,, 75460 MELAKA","NO. 14, JALAN SERI EMAS 13,","TAMAN SERI TELOK EMAS,",75460 MELAKA,MELAKA TENGAH,6,C - Pembuatan,2.164112886,102.3250974
MAJIKAN,2024,PAC/10401/2024/99415,99 SPEED MART SDN BHD,"JB 3181, JALAN MU 4,, Taman Merlimau Utara,, 77300 Merlimau, Jasin, Melaka","JB 3181, JALAN MU 4,","Taman Merlimau Utara,","77300 Merlimau, Jasin, Melaka",KLANG,6,"G - Perdagangan borong dan runcit, pembaikan kenderaan bermotor dan motosikal",2.16433327,102.4277859
MAJIKAN,2022,PAC/10401/2022/60871,MATANG MANUFACTURING SDN BHD,"JB 3215 JALAN MU 4, TAMAN MERLIMAU UTARA",JB 3215 JALAN MU 4,TAMAN MERLIMAU UTARA,,JASIN,6,C - Pembuatan,2.164434929,102.4272398
MAJIKAN,2023,PAC/10401/2023/74634,Bradken Casting (Malaysia) Sdn Bhd,"JB3189, Jalan MU 4, Taman Merlimau Utara","JB3189, Jalan MU 4, Taman Merlimau Utara",,,JASIN,5,C - Pembuatan,2.164532333,102.4275937
MAJIKAN,2021,PAC/10401/2021/10680,OHARA OPTICAL (M) SDN. BHD.,JC1383 JALAN BESTARI 4 TAMAN MERLIMAU BESTARI 77300 MERLIMAU MELAKA,JC1383 JALAN BESTARI 4 TAMAN MERLIMAU BESTARI 77300 MERLIMAU MELAKA,,,JASIN,9,C - Pembuatan,2.16455898,102.43302
MAJIKAN,2021,PAC/10401/2021/10536,OHARA OPTICAL (M) SDN. BHD.,JC1382 JALAN BESTARI 4 TAMAN MERLIMAU BESTARI 77300 MERLIMAU MELAKA,JC1382 JALAN BESTARI 4 TAMAN MERLIMAU BESTARI 77300 MERLIMAU MELAKA,,,JASIN,10,C - Pembuatan,2.164590892,102.4330185
MAJIKAN,2023,PAC/10401/2023/74639,Bradken Casting (Malaysia) Sdn Bhd,"JB3184, Jalan MU 4, Taman Merlimau Utara","JB3184, Jalan MU 4, Taman Merlimau Utara",,,JASIN,4,C - Pembuatan,2.164616763,102.4272759
MAJIKAN,2021,PAC/10401/2021/10538,OHARA OPTICAL (M) SDN. BHD.,JC1381 JALAN BESTARI 4 TAMAN MERLIMAU BESTARI 77300 MERLIMAU MELAKA,JC1381 JALAN BESTARI 4 TAMAN MERLIMAU BESTARI 77300 MERLIMAU MELAKA,,,JASIN,9,C - Pembuatan,2.164621045,102.4330199
MAJIKAN,2023,PAC/10401/2023/74644,Bradken Casting (Malaysia) Sdn Bhd,"JB3183, Jalan MU 4, Taman Merlimau Utara","JB3183, Jalan MU 4, Taman Merlimau Utara",,,JASIN,5,C - Pembuatan,2.164643543,102.4272191
MAJIKAN,2021,PAC/10401/2021/10541,OHARA OPTICAL (M) SDN. BHD.,JC1380 JALAN BESTARI 4 TAMAN MERLIMAU BESTARI 77300 MERLIMAU MELAKA,JC1380 JALAN BESTARI 4 TAMAN MERLIMAU BESTARI 77300 MERLIMAU MELAKA,,,JASIN,0,C - Pembuatan,2.164652538,102.4330199
MAJIKAN,2024,PAC/10401/2024/96038,99 SPEED MART SDN BHD,"JB 3200, Jalan MU 4, Taman Merlimau Utara, 77300 Merlimau, Melaka.","JB 3200, Jalan MU 4, Taman Merlimau Utara, 77300 Merlimau, Melaka.",,,KLANG,6,"G - Perdagangan borong dan runcit, pembaikan kenderaan bermotor dan motosikal",2.16467049,102.4267332
MAJIKAN,2023,PAC/10401/2023/74643,Bradken Casting (Malaysia) Sdn Bhd,"JB3177, Jalan MU 4, Taman Merlimau Utara","JB3177, Jalan MU 4, Taman Merlimau Utara",,,JASIN,5,C - Pembuatan,2.164673117,102.4269448
