KATEGORI BAWAH 446,Tahun Permohonan,NOPAC,NAMA SYARIKAT / PENYEDIA,ALAMAT,ADD1,ADD2,ADD3,DAERAH,KAPASITI,SEKTOR,X,Y
MAJIKAN,2022,PAC/10401/2022/65541,ULTIMATE TECHNOLOGY SDN BHD,"DT 2075, JALAN ANGKASA NURI 26, TAMAN ANGKASA NURI, DURIAN TUNGGAL, HANG TUAH JAYA",DT 2075,"JALAN ANGKASA NURI 26, TAMAN ANGKASA NURI","DURIAN TUNGGAL, HANG TUAH JAYA",ALOR GAJAH,7,C - Pembuatan,2.275577558,102.2519534
MAJIKAN,2022,PAC/10401/2022/56812,Cuppa Roaster Sdn.Bhd,"DT 1671 Jalan Angkasa Nuri 3, Taman Angkasa Nuri",DT 1671 Jalan Angkasa Nuri 3,Taman Angkasa Nuri,,ALOR GAJAH,10,C - Pembuatan,2.27571353,102.2474257
MAJIKAN,2023,PAC/10401/2023/73241,HYPER TECH LUBRO PETROLEUM SDN BHD,"DT 2730 JLN ANGKASA NURI 33, TAMAN ANGKASA NURI",DT 2730 JLN ANGKASA NURI 33,TAMAN ANGKASA NURI,,MELAKA TENGAH,18,"E - Bekalan air; pembetungan, pengurusan sisa dan aktiviti pemulihan",2.276119583,102.2519692
MAJIKAN,2024,PAC/10401/2024/97022,YEONG CHAUR SHING PAPER MILL SDN BHD,"NO 26, JALAN SERI KRUBONG 20,, TAMAN SERI KRUBONG 2,, 75250 MELAKA","NO 26, JALAN SERI KRUBONG 20,","TAMAN SERI KRUBONG 2,",75250 MELAKA,MELAKA TENGAH,6,C - Pembuatan,2.27666125,102.2367092
MAJIKAN,2020,PAC/10401/2020/9590,YEONG CHAUR SHING PAPER MILL SDN BHD,"NO 26, JALAN SERI KRUBONG 20, TAMAN SERI KRUBONG, 75250 MELAKA","NO 26, JALAN SERI KRUBONG 20, TAMAN SERI KRUBONG, 75250 MELAKA",,,MELAKA TENGAH,6,C - Pembuatan,2.27666728,102.2367079
MAJIKAN,2021,PAC/10401/2021/17697,PERKHIDMATAN ARAH (M) SDN BHD,"DT 1672, JALAN ANGKASA NURI 22, TAMAN ANGKASA NURI","DT 1672, JALAN ANGKASA NURI 22, TAMAN ANGKASA NURI",,,MELAKA TENGAH,8,S - Aktiviti perkhidmatan lain,2.276885362,102.2496942
MAJIKAN,2023,PAC/10401/2023/82543,FIRST MULTI CARTON INDUSTRIES SDN BHD,"NO.13,LORONG 1,JALAN SK 2,, TAMAN SERI KRUBONG,, KRUBONG,","NO.13,LORONG 1,JALAN SK 2,","TAMAN SERI KRUBONG,","KRUBONG,",MELAKA TENGAH,7,C - Pembuatan,2.276896097,102.2336188
MAJIKAN,2021,PAC/10401/2021/52041,KRUBONG ENGINEERING WORKS SDN BHD,"NO 12-1 JALAN PK 16,, TAMAN PERINDUSTRIAN KRUBONG, 75250 KRUBONG","NO 12-1 JALAN PK 16,",TAMAN PERINDUSTRIAN KRUBONG,75250 KRUBONG,MELAKA TENGAH,0,"M - Aktiviti profesional, saintifik dan teknikal",2.278345982,102.2362594
MAJIKAN,2024,PAC/10401/2024/105322,SYP METAL INDUSTRIES (M) SDN BHD,"27A, JALAN CAHAYA 8, TAMAN TANJUNG MINYAK PERDANA","27A, JALAN CAHAYA 8",TAMAN TANJUNG MINYAK PERDANA,,MELAKA TENGAH,5,C - Pembuatan,2.278617575,102.1908772
MAJIKAN,2021,PAC/10401/2021/1296,SYP METAL INDUSTRIES (M) SDN BHD,"27A, JALAN CAHAYA 8,, TAMAN TANJUNG MINYAK PERDANA","27A, JALAN CAHAYA 8,",TAMAN TANJUNG MINYAK PERDANA,,MELAKA TENGAH,5,C - Pembuatan,2.278634912,102.1908545
MAJIKAN,2021,PAC/10401/2021/40289,TAN WEE CHOON SDN BHD,"53, JALAN TU21, TAMAN TASIK UTAMA, HANG TUAH JAYA, 75450 AYER KEROH, MELAKA.","53, JALAN TU21, TAMAN TASIK UTAMA, HANG TUAH JAYA, 75450 AYER KEROH, MELAKA.",,,MELAKA TENGAH,7,C - Pembuatan,2.278670044,102.2792445
MAJIKAN,2021,PAC/10401/2021/54111,CFL CONSTRUCTION & ENGINEERING,"MB-1-33, JALAN SERI BAYAN UTAMA, TAMAN SERI BAYAN, HANG TUAH JAYA","MB-1-33, JALAN SERI BAYAN UTAMA, TAMAN SERI BAYAN",HANG TUAH JAYA,,MELAKA TENGAH,5,F - Pembinaan,2.279227347,102.2599333
MAJIKAN,2021,PAC/10401/2021/40243,ALLAN D&apos;LIOUS MARKETING (MALAYSIA) SDN BHD,"MC-53, TINGKAT 2, JALAN SB UTAMA, TAMAN SERI BAYAN","MC-53, TINGKAT 2, JALAN SB UTAMA, TAMAN SERI BAYAN",,,MELAKA TENGAH,5,"G - Perdagangan borong dan runcit, pembaikan kenderaan bermotor dan motosikal",2.279790403,102.2603642
MAJIKAN,2021,PAC/10401/2021/51770,KA SIN SUCCESS (M) SDN BHD,"MC 1-21,, JALAN SB UTAMA, TAMAN SERI BAYAN HANG TUAH JAYA","MC 1-21,",JALAN SB UTAMA,TAMAN SERI BAYAN HANG TUAH JAYA,MELAKA TENGAH,5,C - Pembuatan,2.279850756,102.2603574
MAJIKAN,2021,PAC/10401/2021/47980,GREEN AIM SDN BHD,"LOT 3895, JALAN TP 5,
 TAMAN PERINDUSTRIAN BUKIT RAMBAI, 75250 MELAKA.","LOT 3895, JALAN TP 5,
 TAMAN PERINDUSTRIAN BUKIT RAMBAI, 75250 MELAKA.",,,MELAKA TENGAH,0,S - Aktiviti perkhidmatan lain,2.279945734,102.1768336
MAJIKAN,2023,PAC/10401/2023/87802,THE TREE FOOD INDUSTRIES SDN BHD,"LOT 63674, NO.83-1, JALAN KOMERSIAL IAN 2, TAMAN ANGKASA NURI, MUKIM DURIAN TUNGGAL, HANG TUAH JAYA","LOT 63674, NO.83-1, JALAN KOMERSIAL IAN 2","TAMAN ANGKASA NURI, MUKIM DURIAN TUNGGAL",HANG TUAH JAYA,ALOR GAJAH,12,C - Pembuatan,2.280061847,102.253949
